source,product_name,product_type,brand,price,currency,stock_status,blade_count,ratchet_count,bit_count,launcher_count,stadium_count,bey_count,launcher_included,stadium_included,description_text,listing_url,snapshot_date,listing_id,product_code,ratchet,bit,blade,blade_match_status,composition_status,package_bey_count,package_usage_mean,package_usage_max,package_top_cuts_mean,package_top_cuts_max,package_first_rate_mean,package_first_rate_max,package_win_share_mean,package_win_share_max,package_match_coverage,package_meta_coverage,in_stock
Rucua,BX-00 Beyblade 25th Anniversary Set,Set,Takara Tomy,5199.0,MXN,OutOfStock,4,4,4,4,0,4,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
 Para conmemorar el 25 aniversario de Beyblade. El set incluye Dragoon Storm 4-60RA de ""Bakuten Shoot Beyblade"", Storm Pegasus 3-70RA de ""Metal Fight Beyblade"", Victory Valkyrie 2-60RA de ""Beyblade Burst"" y Dran Sword 3-60F Holo Sticker Ver. de ""BEYBLADE X"". 
Los Beyblades de los personajes principales de las primeras temporadas de cada serie de anime ya están disponibles en versiones BEYBLADE X.
Contenido del producto: Blade (4), Ratchet (4), Bit (4), lanzador de jareta (4), jareta (4), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,2026-09-21,rucua_bx-00-beyblade-25th-anniversary-set,BX-00,,,,multi_bey_set,multi_bey,4.0,5.550000000000001,46.5,536.0833333333333,4488.0,28.308333333333334,42.9,5.166666666666667,45.5,1.0,1.0,0
Rucua,BX-00 Bit Set F/T/B/N Gold x Black,Bit Set,Takara Tomy,499.0,MXN,InStock,0,0,4,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Bit (4), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-bit-set-f-t-b-n-gold-x-black,2026-09-21,rucua_bx-00-bit-set-f-t-b-n-gold-x-black,BX-00,,,,no_blade_expected,not_applicable,,,,,,,,,,,,1
Rucua,BX-00 Bit Set F/T/B/N Silver x White,Bit Set,Takara Tomy,499.0,MXN,InStock,0,0,4,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Bit (4), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-bit-set-f-t-b-n-silver-x-white,2026-09-21,rucua_bx-00-bit-set-f-t-b-n-silver-x-white,BX-00,,,,no_blade_expected,not_applicable,,,,,,,,,,,,1
Rucua,BX-00 Booster Cobalt Drake 4-60F Clear Ver.,Booster,Takara Tomy,1599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-clear-ver,2026-09-21,rucua_bx-00-booster-cobalt-drake-4-60f-clear-ver,BX-00,4-60,F,Cobalt Drake,matched,resolved,1.0,2.3333333333333335,3.2,224.66666666666666,313.0,27.333333333333332,31.4,1.7666666666666668,2.2,1.0,1.0,0
Rucua,BX-00 Booster Cobalt Drake 4-60F Metal Coat: Blue Ver.,Booster,Takara Tomy,4699.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,2026-09-21,rucua_bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,BX-00,4-60,F,Cobalt Drake,matched,resolved,1.0,2.3333333333333335,3.2,224.66666666666666,313.0,27.333333333333332,31.4,1.7666666666666668,2.2,1.0,1.0,1
Rucua,BX-00 Booster Draciel Shield 7-60D,Booster,Takara Tomy,599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-draciel-shield-7-60d,2026-09-21,rucua_bx-00-booster-draciel-shield-7-60d,BX-00,7-60,D,Draciel Shield,matched,resolved,1.0,8.133333333333335,23.7,784.0,2286.0,34.333333333333336,44.4,8.033333333333333,23.6,1.0,1.0,0
Rucua,BX-00 Booster Dragoon Storm 4-60RA,Booster,Takara Tomy,599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dragoon-storm-4-60ra,2026-09-21,rucua_bx-00-booster-dragoon-storm-4-60ra,BX-00,4-60,RA,Dragoon Storm,matched,resolved,1.0,1.9333333333333333,2.8,185.66666666666666,273.0,28.166666666666668,28.6,1.5666666666666667,2.4,1.0,1.0,0
Rucua,BX-00 Booster Dran Sword 3-60F Version 2.0,Booster,Takara Tomy,999.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dran-sword-3-60f-version-2-0,2026-09-21,rucua_bx-00-booster-dran-sword-3-60f-version-2-0,BX-00,3-60,F,Dran Sword,matched,resolved,1.0,17.166666666666668,46.5,1658.3333333333333,4488.0,28.099999999999998,33.4,16.400000000000002,45.5,1.0,1.0,0
Rucua,BX-00 Booster Dranzer Spiral 3-80T,Booster,Takara Tomy,599.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t,2026-09-21,rucua_bx-00-booster-dranzer-spiral-3-80t,BX-00,3-80,T,Dranzer Spiral,matched,resolved,1.0,2.6666666666666665,6.2,256.6666666666667,602.0,31.133333333333336,37.5,2.3000000000000003,5.5,1.0,1.0,1
Rucua,BX-00 Booster Dranzer Spiral 3-80T Black Ver.,Booster,Takara Tomy,699.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t-black-ver,2026-09-21,rucua_bx-00-booster-dranzer-spiral-3-80t-black-ver,BX-00,3-80,T,Dranzer Spiral,matched,resolved,1.0,2.6666666666666665,6.2,256.6666666666667,602.0,31.133333333333336,37.5,2.3000000000000003,5.5,1.0,1.0,0
